/usr/local/bin/python3.8 /Users/lindseykim/PycharmProjects/sa8/driver.py
5 of clubs
Queen of hearts
----
7 of spades
3 of hearts
1 of spades
4 of clubs
Jack of spades
----
7 of diamonds
9 of diamonds
8 of clubs
Jack of clubs
Queen of spades
10 of clubs
King of clubs
2 of spades
5 of hearts
8 of hearts
8 of spades
8 of diamonds
4 of diamonds
1 of hearts
King of spades
10 of diamonds
6 of hearts
2 of clubs
9 of spades
King of diamonds
10 of spades
King of hearts
Jack of diamonds
9 of hearts
3 of clubs
3 of spades
3 of diamonds
7 of hearts
Jack of hearts
5 of spades
5 of diamonds
6 of spades
4 of hearts
10 of hearts
2 of diamonds
2 of hearts
Queen of diamonds
6 of clubs
7 of clubs
1 of clubs
Queen of clubs
1 of diamonds
6 of diamonds
5 of clubs
9 of clubs
Queen of hearts
4 of spades
